LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"270220 Coqueiro Seco";1;-;-;-;-;1;2
"270230 Coruripe";1;1;-;-;-;-;2
"270240 Delmiro Gouveia";2;1;1;-;2;1;7
"270260 Feira Grande";-;-;-;1;-;-;1
"270280 Flexeiras";-;-;-;-;1;1;2
"270290 Girau do Ponciano";1;-;-;-;-;-;1
"270320 Igreja Nova";-;-;-;1;1;-;2
"270430 Maceió";55;60;35;76;48;54;328
"270450 Maragogi";1;-;-;-;-;-;1
"270470 Marechal Deodoro";-;2;1;1;-;-;4
"270480 Maribondo";-;-;1;-;-;-;1
"270550 Murici";1;-;1;2;-;2;6
"270570 Olho d'Água das Flores";-;1;-;-;-;1;2
"270580 Olho d'Água do Casado";-;-;-;-;-;2;2
"270630 Palmeira dos Índios";-;1;1;-;-;-;2
"270644 Paripueira";-;-;-;1;-;1;2
"270650 Passo de Camaragibe";-;-;-;-;1;-;1
"270660 Paulo Jacinto";-;-;1;-;-;-;1
"270670 Penedo";1;-;-;-;-;-;1
"270690 Pilar";1;2;3;-;1;4;11
"270720 Poço das Trincheiras";1;-;-;-;-;-;1
"270730 Porto Calvo";-;-;-;1;1;-;2
"270750 Porto Real do Colégio";-;-;-;2;-;-;2
"270770 Rio Largo";-;1;-;4;1;1;7
"270790 Santa Luzia do Norte";-;2;-;-;-;-;2
"270800 Santana do Ipanema";-;-;-;1;-;-;1
"270830 São José da Laje";-;-;-;1;-;-;1
"270850 São Luís do Quitunde";-;1;-;-;-;1;2
"270860 São Miguel dos Campos";-;-;1;-;-;-;1
"270870 São Miguel dos Milagres";-;-;-;-;-;1;1
"270880 São Sebastião";-;-;-;-;-;1;1
"270890 Satuba";-;-;-;-;-;1;1
"270910 Taquarana";-;-;-;-;1;-;1
"270930 União dos Palmares";-;2;-;1;-;-;3
"280030 Aracaju";43;20;11;16;17;20;127
"280067 Boquim";1;-;-;-;-;-;1
"280160 Cedro de São João";-;-;-;-;1;-;1
"280200 Divina Pastora";-;-;-;-;-;1;1
"280210 Estância";1;-;-;-;-;-;1
"280300 Itabaianinha";-;-;-;-;1;-;1
"280320 Itaporanga d'Ajuda";-;-;-;-;-;1;1
"280360 Laranjeiras";-;-;-;-;2;-;2
"280400 Maruim";2;1;-;1;-;-;4
